POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,PRICE
Owner,0,1,3,BHK,2015.021066,1,1,13.010349,77.712151,110
Dealer,0,0,3,BHK,2765.784114,1,1,26.928785,75.828002,67.9
Dealer,0,0,2,BHK,790.0334245,1,1,12.863492,77.74143,26
Builder,0,0,3,BHK,1358.024691,1,0,13.09,80.27,110
Owner,0,0,1,BHK,850.1594049,1,1,21.800275,72.604993,24
Dealer,0,0,2,BHK,1115.075825,1,1,18.973908,73.025106,100
Dealer,0,0,1,BHK,406.3088686,1,1,20.742166,80.104602,110
Dealer,0,0,2,BHK,1080.080235,1,1,22.519728,88.38573,70
Dealer,0,1,4,BHK,3621.234302,1,1,12.96991,77.59796,470
Dealer,1,1,6,BHK,10050.25126,0,1,28.548382,77.327819,1200
Dealer,0,0,3,BHK,1150.0069,1,1,19.05871,72.89969,250
Owner,0,1,3,BHK,2489.40678,1,1,12.980033,77.699328,94
Dealer,1,0,3,BHK,1894.179894,0,1,25.3945,81.8615,53.7
Dealer,0,0,4,BHK,4000,1,1,28.644695,77.338956,140
Dealer,0,1,2,BHK,1269.146608,1,1,22.727017,75.934041,40.6
Owner,0,1,4,BHK,3458.366587,1,1,28.560719,77.386208,260
Builder,0,1,2,BHK,835.2668213,1,0,29.9055,75.2547,25.2
Owner,0,0,2,BHK,1185.146168,1,1,22.54111,88.33778,90
Dealer,0,0,3,BHK,1289.872756,1,1,13.23,77.7,74
Dealer,0,0,3,BHK,2100,1,1,11.931023,79.828222,210
Dealer,0,0,4,BHK,3167.898627,1,1,21.189685,72.841062,150
Owner,0,0,4,BHK,433333.3333,1,1,9.893479,76.408774,65
Builder,0,0,2,BHK,845.007783,1,1,12.9974,80.0966,38
Dealer,0,0,1,BHK,850,1,1,21,77,27.2
Dealer,1,1,2,BHK,923.0100988,0,1,24.69028,78.41889,85
Owner,0,0,3,BHK,1490.312966,1,1,16.531879,80.670951,60
Owner,0,0,3,BHK,1480.019734,1,1,26.222384,85.862108,60
Owner,0,0,3,BHK,1510.159253,1,1,12.8706,77.6279,110
Dealer,1,1,1,BHK,453.0166793,0,1,24.69028,78.41889,66
Dealer,0,0,2,BHK,999.6079969,1,0,22.12947,73.41756,25.5
Owner,0,0,2,BHK,1000,1,1,21.105779,79.078497,30
Owner,0,0,3,BHK,1350.135014,1,1,12.840956,77.659441,60
Dealer,0,0,3,BHK,1231.578947,1,1,12.88784,77.654131,46.8
Dealer,1,1,2,BHK,829.8850575,0,0,13.034709,80.105584,36.1
Dealer,0,0,2,BHK,1069.782752,1,1,28.629811,77.434197,32.5
Dealer,0,0,1,BHK,610.0273241,1,1,19.147866,72.932609,96
Dealer,0,0,4,BHK,2030.205496,1,1,30.698017,76.679016,82
Dealer,0,0,2,BHK,978.7377658,1,1,28.368269,77.37273,29
Dealer,1,1,3,BHK,1503.225806,0,1,26.91868,75.750399,46.6
Dealer,1,1,2,BHK,804.8649615,0,1,12.808137,77.58308,45
Owner,0,0,3,BHK,1400.051854,1,1,20.277511,85.810411,54
Dealer,0,1,2,BHK,1251.091068,1,1,21.235342,72.917751,43
Dealer,0,0,3,BHK,1850.424056,1,1,28.2102,76.8606,48
Owner,0,0,2,BHK,711.0877008,1,1,12.732961,77.707059,27
Owner,0,0,1,BHK,540.0540054,1,1,28.689982,77.339807,24
Dealer,0,0,2,BHK,748,1,1,22.617564,88.427982,18.7
Dealer,0,0,2,BHK,1166.039111,1,1,12.96991,77.59796,96
Dealer,0,0,2,BHK,943.057302,1,1,19.12,72.91,210
Dealer,0,0,3,BHK,1700.071582,1,1,22.221142,88.281267,190
Dealer,0,0,4,BHK,2175.202689,1,1,26.900926,75.775927,110
Owner,1,0,3,BHK,2181.818182,0,1,12.9259,77.6229,240
Owner,0,0,3,BHK,1700.071582,1,1,27.56667,80.68333,95
Owner,0,0,2,BHK,1080.246914,1,1,26.157856,91.827348,35
Owner,0,0,3,BHK,1276.127613,1,1,13.04034,77.591347,58
Dealer,0,1,3,BHK,2735.016019,1,1,12.96991,77.59796,350
Dealer,0,1,2,BHK,988.0395216,1,1,19.12,72.91,190
Dealer,0,0,3,BHK,935.0788138,1,1,22.5,88.35,35
Dealer,0,0,1,BHK,550.0207555,1,1,19.050992,73.017947,53
Dealer,1,1,2,BHK,1094.890511,0,1,30.684523,76.691728,51
Dealer,0,0,5,BHK,6397.725253,1,1,28.488415,77.285903,360
Dealer,0,1,2,BHK,1150.01465,1,1,27.16726,75.709505,78.5
Owner,0,0,2,BHK,936.1348034,1,1,10.999392,76.997254,45
Dealer,0,1,2,BHK,1150.030066,1,1,18.5993,73.7625,76.5
Dealer,1,1,4,BHK,3810.431055,0,1,13.04034,77.591347,320
Owner,1,0,2,BHK,1173.020528,0,1,10.036626,77.482482,84
Dealer,0,0,4,BHK,2541.699762,1,0,12.925027,80.235348,160
Dealer,0,0,2,BHK,950.1648245,1,1,28.535783,77.400502,49
Owner,0,0,2,BHK,1045.12276,1,1,12.985206,77.663799,63
Dealer,0,0,3,BHK,1969.667126,1,1,18.5853,73.7413,100
Dealer,0,0,2,BHK,930.0661778,1,1,20.042481,74.473635,52
Dealer,0,0,2,BHK,1071.080818,1,1,19.2167,73.0833,55
Dealer,1,1,3,BHK,1400.208986,0,1,30.651192,76.755011,67
Dealer,0,0,2,BHK,1176.470588,1,0,30.387136,75.865105,200
Dealer,0,0,4,BHK,1925.925926,1,1,30.692243,76.750614,130
Owner,0,0,2,BHK,1053.001053,1,1,23.19635,72.633149,30
Owner,0,0,2,BHK,1051.156272,1,1,12.96991,77.59796,45
Dealer,1,1,2,BHK,988.5365491,0,1,18.510418,73.781944,66.4
Dealer,0,0,2,BHK,1300.034211,1,1,11,76.96667,38
Dealer,1,1,2,BHK,850.0028333,0,1,24.69028,78.41889,150
Owner,0,0,2,BHK,948.6166008,1,1,28.66667,77.41667,31.2
Owner,0,0,3,BHK,1760.198799,1,1,9.930471,76.271273,85
Owner,0,0,2,BHK,850.1259446,1,1,28.21,76.87,27
Dealer,0,1,1,BHK,654.9646319,1,1,19.049989,73.077321,50
Dealer,0,0,2,BHK,1050.019091,1,1,19.256471,72.868815,110
Owner,0,0,3,BHK,1267.05653,1,1,31.325966,75.573641,65
Dealer,0,0,3,BHK,1150.086256,1,1,26.809242,75.741434,40
Dealer,1,1,3,BHK,844.8442017,0,1,28.406388,77.342588,26.3
Dealer,0,1,2,BHK,1075.268817,1,1,28.583704,77.360401,100
Dealer,0,0,2,BHK,1016.191315,1,1,19.05871,72.89969,150
Dealer,1,1,3,BHK,900.3760394,0,0,19.1615,72.8731,170
Dealer,0,1,3,BHK,2058.11138,1,1,28.546788,77.378494,170
Dealer,1,1,4,BHK,6000,0,1,28.548382,77.327819,750
Dealer,0,0,2,BHK,950.1187648,1,1,10.526103,76.19383,36
Owner,0,0,3,BHK,2015.983872,1,1,12.9847,77.5491,280
Owner,0,0,2,BHK,749.4004796,1,1,21.23994,72.85652,12.5
Dealer,0,1,4,BHK,3045.878546,1,1,28.47944,76.971432,160
Dealer,0,1,2,BHK,1303.707063,1,1,19.1145,72.8712,230
Dealer,0,1,2,BHK,936.0223873,1,1,24.69028,78.41889,97
Dealer,0,0,2,BHK,1100.375738,1,1,26.832353,75.841749,20.5
Dealer,0,0,2,BHK,704.0070843,1,1,13.04724,80.111421,31.8
Dealer,0,0,3,BHK,2000,1,1,9.935413,76.298608,130
Dealer,1,1,3,BHK,1678.657074,0,1,28.595305,77.347365,63
Dealer,0,1,1,BHK,411.1662322,1,0,18.966114,73.148278,48.9
Owner,0,1,2,BHK,950.0285009,1,1,28.576117,77.382136,50
Dealer,0,0,5,BHK,4787.552364,1,1,13.04034,77.591347,480
Owner,0,0,1,BHK,630.2521008,1,1,18.4,76.58333,13.5
Dealer,0,0,3,BHK,1823.154057,1,1,18.52361,73.84778,160
Owner,0,0,3,BHK,2250.692521,1,1,30.594843,76.84983,65
Owner,0,0,3,BHK,1399.941055,1,1,18.531343,73.877715,190
Owner,0,0,3,BHK,1635.055592,1,1,12.96991,77.59796,100
Dealer,0,1,3,BHK,1896.878772,1,1,28.362327,76.979049,110
Dealer,0,1,3,BHK,1600,1,1,19.147866,72.932609,250
Dealer,0,0,3,BHK,1447.054818,1,1,22.53028,88.33417,85
Owner,0,0,3,BHK,1640.112465,1,1,12.846186,77.693554,70
Dealer,1,1,2,BHK,1110.053917,0,1,24.69028,78.41889,70
Dealer,0,1,4,BHK,3333.333333,1,1,28.526624,77.376718,250
Dealer,0,1,3,BHK,2708.070049,1,1,12.8682,77.5321,300
Owner,0,1,1,BHK,410.0461302,1,1,26.781748,81.006714,16
Dealer,0,0,3,BHK,1512.401694,1,1,20.029201,73.787918,100
Dealer,0,0,2,BHK,912.0620202,1,1,19.216097,72.821721,120
Dealer,0,0,2,BHK,795.097423,1,1,21.19233,79.062102,25.3
Builder,1,1,1,BHK,443.5607219,0,0,18.440853,73.90536,29
Dealer,0,0,3,BHK,1350.121359,1,1,12.96991,77.59796,44.5
Dealer,0,0,4,BHK,4000,1,1,12.96991,77.59796,400
Dealer,0,0,3,BHK,4769.230769,1,1,21.174686,79.045846,310
Owner,0,0,3,BHK,1897.278651,1,1,12.96991,77.59796,99
Dealer,0,0,1,BHK,705.0092764,1,1,19.049989,73.077321,57
Dealer,1,1,3,BHK,1510.989011,0,1,12.86,77.786,110
Dealer,0,0,2,BHK,643.8113633,1,1,19.18,72.96333,120
Owner,1,0,2,BHK,1100.208147,0,1,20.100361,79.103607,37
Dealer,0,0,1,BHK,650.0691563,1,1,19.148338,72.995687,47
Dealer,1,1,1,BHK,502.6315789,0,0,12.9182,80.0824,19.1
Dealer,1,0,2,BHK,999.6895374,0,1,19.2167,73.0833,64.4
Dealer,1,1,1,BHK,628.9308176,0,0,13.11389,77.59833,37
Owner,0,0,3,BHK,1050.228311,1,1,23.507414,87.395907,23
Dealer,0,0,2,BHK,1225.186104,1,1,18.52361,73.84778,79
Dealer,0,0,3,BHK,1473.005999,1,1,22.54111,88.33778,66.3
Owner,0,0,2,BHK,1250,1,1,20.167837,72.77484,24
Owner,0,0,3,BHK,1614.797416,1,1,12.890308,74.833347,55
Owner,0,0,1,BHK,533.0243337,1,1,13.09,80.27,23
Dealer,0,0,4,BHK,2754.820937,1,1,22.529,88.368,470
Dealer,0,0,2,BHK,772.4137931,1,1,23.554673,87.274204,22.4
Owner,0,0,2,BHK,900.116144,1,1,21.15389,79.08306,31
Dealer,0,0,1,BHK,674.9662517,1,1,19.2836,72.8675,45
Dealer,0,0,3,BHK,1773.049645,1,1,28.9196,76.8972,120
Owner,0,0,3,BHK,1200,1,1,26.91667,75.86667,45
Dealer,0,1,3,BHK,2015.503876,1,1,26.781748,81.006714,78
Owner,0,0,2,BHK,1075.05864,1,1,28.577673,77.389781,55
Dealer,1,0,3,BHK,1190.322581,0,1,26.736714,88.447713,36.9
Dealer,0,0,3,BHK,1220.886551,1,1,22.403867,88.470006,65
Dealer,0,0,2,BHK,1199.944189,1,1,30.689021,76.860403,86
Dealer,0,0,3,BHK,1700.15456,1,1,28.582887,77.339935,110
Owner,0,0,2,BHK,875.1608752,1,1,17.68333,75.91667,34
Dealer,0,0,3,BHK,1518.151815,1,1,12.896796,77.5724,92
Dealer,0,0,1,BHK,739.9817851,1,1,18.558319,73.77588,65
Dealer,1,1,1,BHK,389.5585889,0,0,19.161955,72.839616,87.9
Owner,0,0,2,BHK,1350.154936,1,1,9.930471,76.271273,61
Dealer,1,1,3,BHK,1679.966401,0,1,28.429614,77.481711,120
Dealer,0,0,5,BHK,5873.586394,1,1,12.935541,77.680684,670
Dealer,0,1,2,BHK,1044.045677,1,1,19.1759,72.9522,160
Dealer,1,0,3,BHK,1350.024546,0,1,21.178534,79.646656,55
Dealer,0,0,3,BHK,1954.686806,1,1,28.9196,76.8972,88
Dealer,0,0,2,BHK,1500,1,1,22.328394,73.176639,48
Dealer,0,0,2,BHK,1192.307692,1,1,26.265915,73.004593,62
Owner,0,0,3,BHK,1000,1,1,23.280294,77.365731,40
Dealer,0,1,3,BHK,1556.247221,1,0,22.288976,73.128222,35
Dealer,1,1,2,BHK,514.9738552,0,0,24.69028,78.41889,130
Dealer,0,1,2,BHK,1072.194425,1,1,28.698133,77.335746,30
Dealer,0,1,3,BHK,1626.898048,1,1,24.69028,78.41889,180
Owner,0,0,2,BHK,700.1647446,1,1,21.163131,81.306849,17
Dealer,0,0,3,BHK,1336.184773,1,1,13.114624,80.188519,78.1
Owner,0,0,1,BHK,535.0028458,1,1,18.47954,73.875229,47
Dealer,0,1,2,BHK,882.0536017,1,1,19.256471,72.868815,78
Dealer,0,1,2,BHK,650.0397984,1,1,18.651598,73.735448,49
Dealer,1,1,3,BHK,1370.07874,0,1,12.86,77.786,87
Dealer,0,0,3,BHK,1930.235765,1,1,12.905368,77.580403,140
Dealer,1,0,2,BHK,730.8254481,0,0,19.05871,72.89969,190
Dealer,1,1,3,BHK,1000,0,1,19.218498,72.992114,94
Owner,0,0,2,BHK,650.0956023,1,1,18.439098,74.35197,17
Dealer,0,0,3,BHK,2258.512856,1,1,18.49667,73.94167,130
Dealer,0,0,3,BHK,2026.929202,1,1,28.41667,77.3,140
Dealer,1,0,1,BHK,414.7619048,0,1,24.6902,78.416,87.1
Owner,0,0,3,BHK,1495.35923,1,1,28.990399,77.059442,43.5
Dealer,0,0,2,BHK,800,1,1,26.9883,75.5846,13
Dealer,0,0,3,BHK,1821.125051,1,1,22.5922,88.484911,90
Dealer,0,0,2,BHK,940.8075265,1,1,28.574502,77.328608,120
Owner,0,0,2,BHK,1250,1,1,28.9196,76.8972,52
Owner,1,0,2,BHK,1209.816799,0,1,16.498436,80.653706,35
Dealer,0,0,1,BHK,550.017188,1,1,18.129209,76.758924,32
Dealer,0,0,2,BHK,1150,1,1,22.3,73.2,23
Dealer,0,0,2,BHK,1225.201072,1,1,12.9816,77.6729,45.7
Dealer,1,0,1,BHK,408.997955,0,1,18.96667,72.83333,70
Dealer,0,0,3,BHK,2685.861624,1,1,28.440728,77.114195,500
Dealer,1,1,1,BHK,498.8873735,0,1,24.69028,78.41889,69.5
Owner,0,0,1,BHK,666.0088801,1,1,21.142359,72.862596,13.5
Dealer,0,0,2,BHK,1110.045224,1,1,24.69028,78.41889,81
Owner,0,0,1,BHK,950.3239741,1,1,21.12904,72.858164,22
Owner,0,0,2,BHK,1349.325337,1,1,30.65,76.82,45
Dealer,1,1,2,BHK,530.2378905,0,0,18.6182,73.7447,55.5
Owner,0,0,2,BHK,1200.274348,1,1,21.1677,72.8382,35
Dealer,1,1,3,BHK,1599.680064,0,1,19.1759,72.9522,240
Dealer,0,0,2,BHK,1163.636364,1,1,22.803593,83.755013,160
Dealer,1,1,3,BHK,113785.558,0,0,15.384909,73.850001,7280
Dealer,0,0,3,BHK,2241.010492,1,1,22.535636,88.388412,220
Owner,0,1,2,BHK,942.0022165,1,1,12.96991,77.59796,51
Builder,1,1,1,BHK,301.9171163,0,0,19.076057,73.097319,26.3
Dealer,0,0,2,BHK,900.090009,1,1,28.9196,76.8972,40
Dealer,0,0,4,BHK,2674.956622,1,0,28.5574,77.159,92.5
Dealer,0,0,2,BHK,852.9776675,1,1,19.256471,72.868815,110
Dealer,0,0,3,BHK,2106.897316,1,1,28.9196,76.8972,190
Dealer,1,1,4,BHK,3495.947879,0,1,21.848391,73.100621,220
Dealer,0,0,2,BHK,1600.134748,1,1,12.96991,77.59796,95
Dealer,0,0,3,BHK,1326.963907,1,1,12.96991,77.59796,75
Dealer,0,1,3,BHK,1505.011565,1,1,12.86,77.786,97.6
Dealer,0,1,2,BHK,1296.111665,1,1,13.055985,77.622157,78
Dealer,0,0,4,BHK,3501.361641,1,1,28.440728,77.114195,630
Dealer,0,0,2,BHK,1400.147384,1,1,35,136,76
Dealer,0,0,1,BHK,661.9632436,1,1,19.126499,72.99956,76
Dealer,0,0,3,BHK,2070.0207,1,1,19.0705,72.8309,690
Owner,0,0,1,BHK,284.0012622,1,1,21.734206,70.456703,9
Dealer,0,0,2,BHK,1299.89295,1,1,18.52361,73.84778,85
Owner,0,1,3,BHK,1300.131062,1,1,28.579004,77.431173,49.6
Dealer,0,0,2,BHK,1165.13904,1,1,12.9958935,77.761394,75
Dealer,0,1,2,BHK,1135.241856,1,1,13.054202,77.674002,46
Dealer,0,0,3,BHK,1645.141451,1,1,22.7808,86.1522,53.5
Dealer,0,0,4,BHK,2141.46658,1,1,28.368269,77.37273,66
Dealer,1,1,3,BHK,1777.975331,0,0,28.510034,77.06508,160
Dealer,0,1,2,BHK,947.6389335,1,1,26.900926,75.775927,29.5
Owner,0,0,3,BHK,1100.196464,1,1,27.073397,75.594316,28
Dealer,0,0,2,BHK,1273.828413,1,1,16.700359,76.83521,570
Dealer,0,0,2,BHK,797.0849465,1,1,13.042089,80.124264,35
Owner,0,0,2,BHK,823.0452675,1,1,11.169483,76.616001,34
Owner,0,0,2,BHK,630.1502666,1,1,26.91667,75.86667,13
Owner,0,0,3,BHK,1300.284437,1,1,24.03687,85.3782,32
Dealer,0,0,3,BHK,1785.469029,1,1,28.385415,76.964613,130
Dealer,0,0,3,BHK,1995.609659,1,1,22.5922,88.484911,100
Dealer,0,0,4,BHK,3750.161645,1,1,12.953042,77.732643,290
Dealer,0,0,3,BHK,1724.137931,1,1,12.973237,77.646859,34
Dealer,0,0,3,BHK,1699.346405,1,1,22.312358,73.145436,26
Owner,0,0,2,BHK,1270.417423,1,1,26.906098,75.825254,35
Owner,0,1,1,BHK,675.0392465,1,1,25.415663,86.144871,43
Dealer,0,1,3,BHK,1625.282167,1,1,28.577673,77.389781,72
Owner,0,0,3,BHK,1655.878368,1,1,12.326657,76.637965,110
Owner,0,0,3,BHK,1650.252861,1,1,16.609758,80.617778,62
Dealer,0,0,1,BHK,650.1011268,1,1,24.6902,78.416,22.5
Owner,0,0,4,BHK,1750.051472,1,1,28.6221,77.3674,85
Owner,1,0,3,BHK,1400,0,1,17.80268,83.356136,51.8
Dealer,0,1,3,BHK,1877.410189,1,1,19.128324,72.825408,370
Dealer,0,1,2,BHK,1150.190114,1,1,28.5035,77.426447,48.4
Dealer,1,1,3,BHK,1767.352185,0,1,12.9255,77.6765,110
Dealer,0,1,2,BHK,800.1361934,1,1,28.406388,77.342588,23.5
Dealer,0,0,3,BHK,1250,1,1,22.403867,88.470006,45
Owner,0,0,1,BHK,609.0764331,1,1,23.399528,85.357421,15.3
Owner,0,0,2,BHK,2000,1,1,18.4543,73.1147,60
Dealer,0,0,3,BHK,1250,1,1,12.928575,77.585721,45
Dealer,0,0,2,BHK,954.7934528,1,1,26.8626,75.7633,24.5
Dealer,1,1,1,BHK,453.0011325,0,0,19.249861,72.963866,64
Dealer,0,0,2,BHK,550.0442,1,1,19.18,72.96333,56
Dealer,0,0,3,BHK,2051.158301,1,1,22.5922,88.484911,85
Dealer,0,1,3,BHK,2501.924557,1,1,28.47944,76.971432,130
Owner,0,0,2,BHK,1159.243441,1,1,20.26444,85.82806,38
Owner,0,0,2,BHK,940.2914904,1,1,12.756152,77.856172,20
Dealer,0,1,3,BHK,1750.087504,1,1,19.1758,72.8643,200
Dealer,0,0,3,BHK,1474.993653,1,1,22.760061,75.928572,58.1
Owner,0,0,2,BHK,800,1,1,28.6711,77.3683,25
Dealer,0,1,3,BHK,1678.947368,1,1,26.91868,75.750399,63.8
Dealer,1,1,4,BHK,2171.612103,0,1,19.0164,72.8294,1190
Dealer,0,0,1,BHK,675.024108,1,1,18.975268,73.109062,42
Dealer,0,0,2,BHK,1302.241066,1,1,21.17,72.83,43
Owner,0,0,2,BHK,1166.180758,1,1,13.0814,77.5566,60
Owner,0,0,2,BHK,549.7771174,1,1,22.29691,70.79836,18.5
Owner,0,0,3,BHK,1399.825022,1,1,21.2612,81.586072,48
Dealer,0,1,2,BHK,1176.683563,1,1,12.9847,77.5491,130
Dealer,0,0,3,BHK,1282.568807,1,1,35,136,69.9
Owner,0,0,3,BHK,1609.834626,1,1,21.15389,79.08306,110
Owner,0,0,1,BHK,675.1687922,1,1,20.36667,72.9,9
Dealer,1,1,3,BHK,1950.078003,0,1,19.139348,72.820458,350
Dealer,1,0,3,BHK,1650,0,1,18.092898,83.395794,52.8
Dealer,0,0,2,BHK,1223.380154,1,1,12.973237,77.646859,27
Dealer,0,1,2,BHK,1250,1,1,26.900926,75.775927,41
Dealer,1,0,3,BHK,1183.522902,0,1,22.7808,86.1522,38.5
Dealer,0,0,3,BHK,1960.01568,1,1,30.662283,76.822397,50
Owner,0,0,5,BHK,2700.096432,1,1,22.590732,76.635291,56
Dealer,0,0,2,BHK,980.3921569,1,1,20.230195,85.816005,23.5
Dealer,0,0,2,BHK,1195.652174,1,1,28.456809,77.099182,110
Owner,0,0,2,BHK,900.297619,1,1,22.216168,73.185498,24.2
Owner,0,0,3,BHK,1328.273245,1,1,21.17,72.83,42
Dealer,0,1,2,BHK,1125.112511,1,1,24.69028,78.41889,100
Dealer,0,0,2,BHK,830.2364197,1,1,19.014858,72.8662,210
Owner,0,0,2,BHK,1554.118018,1,1,11.060813,76.970641,98.5
Owner,0,0,1,BHK,449.7354497,1,1,18.25,76.5,10.2
Owner,0,0,3,BHK,1210.084034,1,1,22.571461,71.811594,36
Dealer,0,0,3,BHK,1800.288046,1,1,26.930121,75.790763,75
Dealer,1,0,2,BHK,958.9041096,0,1,19.1615,72.8731,140
Dealer,0,0,4,BHK,4800,1,1,19.0164,72.8294,4500
Dealer,0,0,2,BHK,1350.0135,1,1,18.540684,73.834647,150
Owner,0,0,2,BHK,949.9136442,1,1,15.355645,75.137959,22
Dealer,0,1,3,BHK,1040.041602,1,1,19.18,72.96333,180
Dealer,0,1,3,BHK,1449.781659,1,1,18.5853,73.7413,83
Dealer,1,1,2,BHK,1350.135014,0,1,28.522931,77.357078,60
Dealer,0,1,3,BHK,1579.809004,1,1,30.662283,76.822397,57.9
Dealer,0,0,3,BHK,1489.489489,1,1,28.2102,76.8606,24.8
Owner,0,0,2,BHK,750.0610799,1,1,22.54111,88.33778,30.7
Dealer,0,0,3,BHK,1419.656786,1,1,26.832353,75.841749,45.5
Dealer,0,0,4,BHK,4095.252541,1,1,12.9958935,77.761394,270
Owner,0,0,2,BHK,750,1,1,23.25,77.41667,18
Dealer,0,1,2,BHK,883.4442547,1,0,24.69028,78.41889,300
Dealer,1,1,2,BHK,910.8108108,0,1,19.085225,73.661835,33.7
Owner,0,0,4,BHK,2526.595745,1,1,28.579004,77.431173,95
Dealer,0,0,4,BHK,5000,1,1,18.5333,73.9,550
Dealer,0,0,3,BHK,1559.004948,1,1,19.095064,73.008003,230
Dealer,0,1,3,BHK,1553.139561,1,1,28.9196,76.8972,70
Dealer,1,1,2,BHK,1207.200847,0,1,18.510418,73.781944,68.4
Owner,0,0,3,BHK,1400,1,1,28.63676,77.36315,70
Dealer,0,0,3,BHK,1347.708895,1,1,22.54111,88.33778,100
Dealer,0,0,4,BHK,2728.264824,1,1,28.507037,76.970772,150
Dealer,0,0,4,BHK,2705.882353,1,1,26.473073,74.641793,230
Dealer,1,1,4,BHK,1429.272351,0,0,19.0167,72.8167,670
Dealer,1,1,1,BHK,716.0268129,0,1,19.1849,72.8347,94
Owner,0,0,3,BHK,1420.051122,1,1,26.91667,75.86667,50
Dealer,0,0,2,BHK,970.042796,1,1,28.5822,77.3293,68
Dealer,0,0,4,BHK,3899.835796,1,1,13.04034,77.591347,380
Owner,0,0,2,BHK,900.090009,1,1,29.676163,77.00806,30
Owner,0,0,2,BHK,1264.450867,1,1,28.874383,77.113251,35
Dealer,0,1,3,BHK,1850.124378,1,1,30.682453,76.75696,59.5
Dealer,0,0,2,BHK,1070.079731,1,1,12.976741,77.674509,51
Owner,0,0,2,BHK,840.1344215,1,1,22.54111,88.33778,35
Dealer,0,1,3,BHK,2280.068402,1,1,28.558047,77.392752,120
Dealer,0,1,3,BHK,1671.681712,1,1,28.9196,76.8972,100
Owner,0,0,6,BHK,3200.189641,1,1,12.833224,80.210726,270
Dealer,1,1,2,BHK,722.0216606,0,1,19.1145,72.8712,180
Dealer,1,0,2,BHK,1300.027858,0,1,18.52361,73.84778,140
Owner,1,1,2,BHK,1069.93737,0,1,30.65,76.82,41
Dealer,0,0,3,BHK,1773.144914,1,1,18.96,72.82,330
Dealer,1,1,1,BHK,617.9671647,0,0,12.840956,77.659441,33.5
Dealer,0,0,1,BHK,715.0153218,1,1,19.2836,72.8675,49
Owner,0,0,3,BHK,1352.169526,1,1,9.994,76.292,67
Owner,0,0,2,BHK,1199.637845,1,1,28.9196,76.8972,53
Dealer,0,0,2,BHK,1363.109049,1,1,12.274538,76.644605,47
Dealer,1,0,2,BHK,802.572041,0,1,22.648322,88.4431525,33.7
Owner,0,0,2,BHK,950.1187648,1,1,22.68333,88.36667,24
Dealer,0,1,2,BHK,1217.161984,1,1,12.9847,77.5491,120
Dealer,0,0,2,BHK,1050.052503,1,1,28.629811,77.434197,30
Dealer,1,0,2,BHK,1073.878628,0,1,25.444108,81.914212,40.7
Dealer,0,0,1,BHK,609.9916634,1,1,18.54138,73.21997,300
Owner,0,0,2,BHK,777.1073322,1,1,12.900422,80.159352,42.5
Owner,0,0,2,BHK,900.0692361,1,1,28.63676,77.36315,39
Owner,0,0,2,BHK,900.0473709,1,1,10.774534,79.836041,38
Dealer,0,0,2,BHK,1079.913607,1,1,30.768683,76.650876,20
Owner,0,0,3,BHK,1565.55773,1,1,22.741503,75.815098,40
Dealer,0,0,2,BHK,950.0777336,1,1,19.1983,72.8409,110
Dealer,0,0,3,BHK,1474.080747,1,1,19.027644,73.061159,180
Owner,0,0,2,BHK,1250,1,1,25.625831,85.100455,68
Dealer,0,0,2,BHK,987.2159091,1,1,28.553374,77.355611,27.8
